"","age","ed","employ","address","income","debtinc","creddebt","othdebt","default","preddef1","preddef2","preddef3"
"71",34,"High school degree",3,8,21,23.1,1.401939,3.449061,"No",0.66227335023999,0.716648389999867,0.62472170332041
"72",28,"High school degree",5,9,34,23.8,3.099236,4.992764,"No",0.757924601437733,0.793200728699453,0.646061231863975
"73",47,"Did not complete high school",26,21,100,12.8,4.5824,8.2176,"No",0.00637324699942851,0.0107388222009277,0.300268933495266
"74",43,"College degree",1,5,26,10.6,1.518556,1.237444,"No",0.590458991966751,0.623037420788512,0.243133697635996
"75",41,"Did not complete high school",13,10,44,1.7,0.07106,0.67694,"No",0.010287079798852,0.00652923748666968,0.0905475842743514
"76",47,"Did not complete high school",13,25,51,23.8,3.738504,8.399496,"No",0.150194267894202,0.123296529750541,0.646061231863975
"77",24,"Did not complete high school",2,1,21,0.6,0.025074,0.100926,"No",0.215822125271502,0.195944565085147,0.0793109640077818
"78",29,"Did not complete high school",1,9,17,6.7,0.157182,0.981818,"No",0.252858729984801,0.175985098815376,0.161260140498931
"79",33,"Did not complete high school",14,2,37,2.6,0.199134,0.762866,"No",0.0178746706784111,0.0389362348983701,0.100786887619104
"80",36,"Did not complete high school",15,10,39,3.2,0.6864,0.5616,"No",0.0102849670856949,0.00297656390735223,0.108172886416567
"81",26,"Did not complete high school",4,3,27,10.5,2.47212,0.36288,"Yes",0.583734684574949,0.444059375579108,0.240719879471011
"82",31,"Did not complete high school",11,12,45,17,2.7387,4.9113,"No",0.203463001175819,0.128282068426122,0.427214320753891
"83",37,"Did not complete high school",7,3,32,19.6,2.69696,3.57504,"No",0.632367844833177,0.513087736221153,0.512242205469548
"84",35,"College degree",4,16,29,11,1.84382,1.34618,"No",0.262319209983873,0.301699865504093,0.25295226288355
"85",26,"Did not complete high school",4,3,20,5.4,0.3186,0.7614,"No",0.206525269421241,0.15847133977337,0.139435797002348
"86",40,"Did not complete high school",10,15,45,18.8,2.01348,6.44652,"No",0.164846926207969,0.340958979649143,0.485924955715624
"87",29,"High school degree",5,4,36,12.4,3.490848,0.973152,"Yes",0.68259345252201,0.740911846988342,0.289325043862157
"88",37,"Some college",5,17,29,24.6,1.405398,5.728602,"No",0.399252159769595,0.491251255193951,0.669752092382178
"89",32,"Did not complete high school",12,12,28,2.9,0.116116,0.695884,"No",0.0126835815307447,0.00707101849078443,0.104422211934525
"90",23,"High school degree",0,1,17,27.7,2.043706,2.665294,"Yes",0.939557229779058,0.954148797173829,0.753074405700566
"91",32,"Did not complete high school",3,10,23,6.2,0.052762,1.373238,"No",0.147564685890887,0.10081811056697,0.15255635158718
"92",25,"Did not complete high school",1,6,15,11.4,0.37107,1.33893,"Yes",0.425001073244948,0.340615417991901,0.263029539285341
"93",38,"Did not complete high school",5,5,54,10.6,1.499688,4.224312,"No",0.350841940701269,0.64497907151034,0.243133697635996
"94",32,"High school degree",0,6,18,5.8,0.296496,0.747504,"Yes",0.355098571476067,0.431805122321791,0.14587379519876
"95",41,"Some college",2,0,15,26.3,1.960665,1.984335,"Yes",0.897394641980317,0.959274266761121,0.717240209782889
"96",36,"Did not complete high school",17,6,54,4.4,0.727056,1.648944,"No",0.00997417097263277,0.00509957479689125,0.124378885097109
"97",42,"Some college",13,0,82,3.3,1.315116,1.390884,"No",0.0521534174508759,0.0509284692896457,0.109449179895879
"98",41,"Did not complete high school",14,8,52,7.3,0.926224,2.869776,"No",0.025029966189553,0.0624939247770416,0.172229007335537
"99",29,"High school degree",4,9,19,6.3,0.681093,0.515907,"No",0.175617818886076,0.211581442461379,0.154265727768891
"100",38,"Some college",4,6,31,9.3,1.331946,1.551054,"Yes",0.339650908420632,0.50079852371426,0.213043376128119
"101",39,"Did not complete high school",22,9,113,2.6,0.987168,1.950832,"No",0.00231900564293606,0.000980994888852581,0.100786887619104
"102",36,"Did not complete high school",6,9,26,8.3,0.030212,2.127788,"No",0.0972693166563266,0.0522477247080192,0.191809605554132
"103",33,"Did not complete high school",8,7,27,5.8,0.776736,0.789264,"No",0.0875793909394589,0.0559538028314983,0.14587379519876
"104",42,"High school degree",21,11,121,3.1,1.365364,2.385636,"No",0.00325809535391432,0.00152357669198953,0.106909689191686
"105",41,"High school degree",22,17,75,23.6,9.8766,7.8234,"No",0.557979950059622,0.518698250477894,0.640019076249957
"106",40,"Did not complete high school",8,17,28,3.6,0.53424,0.47376,"No",0.0296226281420844,0.018402997954554,0.113357560419516
"107",53,"Did not complete high school",9,18,50,11.2,2.016,3.584,"Yes",0.0916945146343532,0.277142433668934,0.257958800003834
"108",28,"Did not complete high school",4,7,26,13.5,1.29519,2.21481,"No",0.402168635202623,0.279558830343841,0.319975239349056
"109",36,"High school degree",12,13,60,7.9,1.72062,3.01938,"No",0.0441411890388896,0.02737656340825,0.183780491732131
"110",34,"High school degree",9,13,45,10.1,1.11807,3.42693,"No",0.0759636639813746,0.0705385306154378,0.231229159681675
"111",45,"Some college",2,5,39,4.9,0.45864,1.45236,"No",0.271468569657142,0.505466958064721,0.131724949891918
"112",38,"Did not complete high school",6,0,41,8.9,0.266377,3.382623,"No",0.212746462883083,0.276915319730515,0.204350163433237
"113",21,"Some college",0,2,24,7.7,0.833448,1.014552,"No",0.550739475836411,0.604540493326661,0.179864663152346
"114",42,"Did not complete high school",12,11,51,21.4,2.411994,8.502006,"No",0.209992445779654,0.208271904700901,0.570989483667463
"115",52,"Did not complete high school",16,25,64,8.6,1.865856,3.638144,"No",0.00757311858225359,0.00459130223039786,0.198005125485801
"116",25,"High school degree",4,6,33,5.2,0.552552,1.163448,"No",0.186436296377201,0.168707793762057,0.136307035904262
"117",34,"High school degree",9,9,65,6.2,2.10769,1.92231,"No",0.124476665523011,0.0843835744458823,0.15255635158718
"118",40,"High school degree",15,16,73,3.4,1.032512,1.449488,"No",0.00785879782889407,0.00597378562937432,0.110738662082415
"119",31,"High school degree",0,4,27,12.8,1.08864,2.36736,"Yes",0.65419989742066,0.65026091904429,0.300268933495266
"120",25,"Did not complete high school",1,0,20,6.7,0.47168,0.86832,"Yes",0.457103921211109,0.451129715395582,0.161260140498931
"121",45,"Did not complete high school",12,19,37,9.5,1.34273,2.17227,"No",0.0256308494204531,0.0164447691927515,0.217489983603156
"122",23,"Did not complete high school",3,0,19,8.4,0.2793,1.3167,"Yes",0.350376773755335,0.280223940433409,0.193858196359287
"123",34,"College degree",6,3,27,35.3,1.982448,7.548552,"Yes",0.853379627730542,0.801968753892446,0.892387804215323
"124",31,"Did not complete high school",2,4,22,12.7,1.092454,1.701546,"Yes",0.536364361443418,0.380803460866959,0.297510850128549
"125",28,"Did not complete high school",5,9,22,2.8,0.140448,0.475552,"No",0.0825916726080969,0.026850152192971,0.103197745324591
"126",41,"Did not complete high school",7,11,43,4.4,0.694364,1.197636,"No",0.0693503634266374,0.0310097271202971,0.124378885097109
"127",39,"High school degree",7,2,68,13,1.0166,7.8234,"Yes",0.284597621649181,0.328969293496989,0.30582859021282
"128",29,"High school degree",9,3,36,1.4,0.127008,0.376992,"No",0.0464490243630466,0.0318417122753802,0.0873481762044001
"129",21,"Did not complete high school",5,1,25,9,0.36675,1.88325,"No",0.253362895304758,0.0898022187757773,0.206498469635316
"130",41,"High school degree",19,2,68,5.8,1.506608,2.437392,"No",0.0149542692006454,0.0166076271776992,0.14587379519876
"131",26,"College degree",1,7,27,2.9,0.311634,0.471366,"No",0.23724479296094,0.270131069225841,0.104422211934525
"132",33,"Did not complete high school",5,10,18,12.9,0.984528,1.337472,"No",0.247174208492091,0.127883763751804,0.303041555782365
"133",45,"High school degree",18,19,35,17.4,0.5481,5.5419,"No",0.00775526787439888,0.0100335741247967,0.440143677259624
"134",39,"Did not complete high school",17,20,60,13.7,2.44956,5.77044,"No",0.0193163491321548,0.0122044669242966,0.325729918501149
"135",24,"Did not complete high school",7,2,21,6.3,0.519939,0.803061,"No",0.142126298618427,0.249342058739052,0.154265727768891
"136",29,"High school degree",6,7,57,2.2,0.452694,0.801306,"No",0.0861328420699012,0.0742104868346849,0.0961148365238271
"137",27,"High school degree",1,0,23,12.4,0.2852,2.5668,"No",0.555831124834674,0.620352160789921,0.289325043862157
"138",40,"Did not complete high school",13,2,28,5.9,0.964768,0.687232,"No",0.0459242586967559,0.0449947798730919,0.147521328601
"139",29,"Did not complete high school",8,10,24,6.7,0.469536,1.138464,"No",0.0639314704741976,0.0388865740476837,0.161260140498931
"140",29,"High school degree",4,3,37,6.6,1.15995,1.28205,"Yes",0.319083472943685,0.270478424694984,0.159487876633662
"141",24,"Did not complete high school",0,2,16,16,1.00864,1.55136,"Yes",0.738204317983864,0.872485064829212,0.395358472460017
"142",27,"Did not complete high school",9,6,45,17.8,2.85156,5.15844,"Yes",0.436141029360044,0.362589321826631,0.453154759589524
"143",41,"Some college",16,22,135,4.4,1.2771,4.6629,"No",0.00477351354805055,0.00337803602576242,0.124378885097109
"144",31,"Did not complete high school",11,8,25,9.1,0.14105,2.13395,"No",0.0382150216088275,0.0204679755260333,0.208663437695647
"145",41,"Did not complete high school",16,17,68,5.4,0.447984,3.224016,"No",0.00486662711959851,0.00324634968595439,0.139435797002348
"146",42,"High school degree",5,3,41,3.4,0.35547,1.03853,"No",0.148805103372266,0.238975415053135,0.110738662082415
"147",28,"College degree",1,3,26,12.4,0.377208,2.846792,"No",0.508310142435968,0.415349744440269,0.289325043862157
"148",30,"College degree",2,8,25,10,1.77,0.73,"No",0.492661934905666,0.368159110647319,0.228897785847298
"149",30,"Did not complete high school",11,1,33,8.4,0.681912,2.090088,"No",0.0825103558654697,0.0716238012640964,0.193858196359287
"150",31,"Did not complete high school",8,4,44,8,1.72128,1.79872,"No",0.203524429513443,0.0808613551551191,0.185763039434584
"151",45,"High school degree",15,14,51,18.1,1.550808,7.680192,"No",0.043887781049779,0.0412249737943856,0.462956247932683
"152",43,"Did not complete high school",13,23,76,6.1,2.151104,2.484896,"Yes",0.0172510088719807,0.0291091265014181,0.150862537804978
"153",36,"Did not complete high school",4,10,23,16.3,1.327146,2.421854,"No",0.407401837725852,0.41964222147585,0.4048353225734
"154",28,"Did not complete high school",8,6,30,7.2,0.61344,1.54656,"No",0.0968867686051043,0.0312928007201404,0.170360679895587
"155",27,"High school degree",3,5,33,13.2,1.6335,2.7225,"No",0.543892441586427,0.613720599895093,0.311445369244008
"156",36,"Some college",13,3,39,19.2,2.800512,4.687488,"No",0.29128083419752,0.397056945175927,0.499082945440632
"157",33,"Did not complete high school",12,11,32,11.3,2.104512,1.511488,"No",0.0837348837574302,0.0426626269932088,0.260486177232655
"158",54,"Did not complete high school",9,2,28,14.8,1.558144,2.585856,"Yes",0.281348716704596,0.480565148130036,0.358292388188577
"159",33,"Did not complete high school",9,4,29,13.8,1.348674,2.653326,"Yes",0.212727096508004,0.0944371904954511,0.328627227393458
"160",31,"Did not complete high school",9,5,26,4.5,0.31005,0.85995,"No",0.0570105234287403,0.0345122749219752,0.125819411565012
"161",21,"Did not complete high school",4,0,26,8.9,1.420796,0.893204,"No",0.459644699231022,0.386675591616441,0.204350163433237
"162",28,"Some college",5,9,44,8.7,0.773256,3.054744,"No",0.178833144380032,0.201825905847842,0.200103503133251
"163",31,"High school degree",2,1,26,6.8,0.28288,1.48512,"Yes",0.3554412263492,0.3568756502985,0.163048277810623
"164",32,"Did not complete high school",8,6,26,4.1,0.326196,0.739804,"No",0.0647353761992979,0.0487580315877201,0.120141998018177
"165",35,"High school degree",1,8,24,12.5,0.591,2.409,"Yes",0.439878611626234,0.588297664013912,0.292038788109412
"166",40,"High school degree",13,11,102,18.9,6.226794,13.051206,"Yes",0.598120042817558,0.719033125749642,0.489213337068893
"167",22,"Did not complete high school",4,2,24,15.6,1.636128,2.107872,"Yes",0.596404719544991,0.52304846496192,0.382845066123689
"168",39,"Did not complete high school",4,9,38,6.5,1.17819,1.29181,"No",0.223769139547549,0.219400230332066,0.157731427249199
"169",41,"College degree",14,3,44,1.7,0.353056,0.394944,"No",0.0166456166795285,0.0256759170254165,0.0905475842743514
"170",34,"Did not complete high school",16,9,79,4,1.73484,1.42516,"No",0.0170113165021451,0.00393592886954769,0.118757642677076
"171",29,"Did not complete high school",7,9,22,9.7,0.550572,1.583428,"No",0.114173673584689,0.0375503691597845,0.222003218251334
"172",31,"Did not complete high school",4,10,28,11.3,0.291088,2.872912,"No",0.196279988997979,0.0955782292865894,0.260486177232655
"173",32,"Did not complete high school",1,0,20,4.8,0.31488,0.64512,"Yes",0.394231456263152,0.415474552004306,0.130226882366666
"174",32,"Did not complete high school",14,7,73,8.8,3.751616,2.672384,"No",0.138268880243197,0.0932881676414942,0.202218511407737
"175",33,"Did not complete high school",6,14,21,7.5,0.567,1.008,"No",0.0833862441416633,0.16162071303503,0.176014277117858
"176",26,"Did not complete high school",6,0,22,10.3,0.720588,1.545412,"No",0.284018712020131,0.123215218144166,0.235941536859481
"177",21,"Did not complete high school",1,1,18,17.3,0.158814,2.955186,"No",0.623187919016875,0.353435211106944,0.436903005506046
"178",28,"High school degree",7,2,34,7,0.35938,2.02062,"No",0.138482165854643,0.17603115352132,0.166672400022865
"179",37,"Did not complete high school",13,5,24,8.9,0.602352,1.533648,"No",0.038407057423822,0.02645854209627,0.204350163433237
"180",33,"High school degree",2,14,35,22.9,2.123975,5.891025,"Yes",0.695220116542206,0.768448717369076,0.618530353850153
"181",39,"Did not complete high school",12,10,46,5,0.5612,1.7388,"No",0.0229370163278594,0.0202204809028661,0.133237610593936
"182",40,"High school degree",8,19,57,5.6,0.8778,2.3142,"No",0.0363250994271934,0.0245346024557083,0.142624515618002
"183",45,"Some college",16,21,80,3,0.912,1.488,"No",0.00371587951429604,0.00210210079509983,0.105659495410671
"184",27,"Did not complete high school",10,6,34,6.5,0.85085,1.35915,"No",0.0664061262746864,0.113108068083484,0.157731427249199
"185",28,"College degree",0,7,29,24.2,1.424654,5.593346,"No",0.83098020126632,0.763616877058708,0.658005175251214
"186",39,"Did not complete high school",13,9,27,8,0.96552,1.19448,"No",0.0317783049105781,0.075876880333692,0.185763039434584
"187",40,"Did not complete high school",14,21,43,15,2.79285,3.65715,"Yes",0.0488323055788279,0.0285409782269161,0.364366949296657
"188",27,"Did not complete high school",11,8,56,16.9,4.63736,4.82664,"No",0.509822396664682,0.399015239643717,0.423996750019665
"189",36,"Did not complete high school",1,4,16,9.3,0.433008,1.054992,"No",0.428088338040939,0.292462180677057,0.213043376128119
"190",55,"Did not complete high school",19,2,78,15.6,4.404816,7.763184,"No",0.159492261396624,0.235432127529823,0.382845066123689
"191",27,"High school degree",4,3,22,13.2,1.086096,1.817904,"Yes",0.445777635521161,0.464658154337711,0.311445369244008
"192",30,"Did not complete high school",1,8,17,11,0.74613,1.12387,"No",0.429187870348339,0.375867605027667,0.25295226288355
"193",36,"Did not complete high school",10,0,28,11.2,0.81536,2.32064,"Yes",0.146632349412748,0.123669593435053,0.257958800003834
"194",31,"Did not complete high school",1,6,21,2.5,0.2772,0.2478,"Yes",0.242020037814469,0.189231246302661,0.0996003083989934
"195",33,"High school degree",13,2,40,7.2,0.18144,2.69856,"No",0.033315528306743,0.0356810287138646,0.170360679895587
"196",30,"Did not complete high school",4,0,33,4.2,0.500346,0.885654,"No",0.248983269136887,0.226450053752615,0.121540265102462
"197",24,"Did not complete high school",1,0,18,5.9,0.23895,0.82305,"Yes",0.407098214549261,0.353632385139084,0.147521328601
"198",33,"College degree",9,10,28,4.3,0.376852,0.827148,"No",0.0394897852073776,0.0454146633923539,0.122952531749586
"199",50,"Did not complete high school",8,27,47,6.9,0.398889,2.844111,"No",0.0164980483316041,0.0136444650006087,0.164852345821016
"200",31,"High school degree",6,6,32,23.1,3.341184,4.050816,"Yes",0.771944252578365,0.791662104478429,0.62472170332041
"201",28,"Did not complete high school",3,7,19,4.1,0.260965,0.518035,"No",0.171340841895772,0.08096490867116,0.120141998018177
"202",44,"Some college",8,10,88,6.1,0.284504,5.083496,"Yes",0.0550515734316749,0.0559555891973196,0.150862537804978
"203",48,"College degree",3,23,45,9.8,0.97461,3.43539,"No",0.123029941897883,0.100988360825296,0.224284794561537
"204",36,"High school degree",0,17,30,9.7,0.32883,2.58117,"No",0.244597738925612,0.277068485772964,0.222003218251334
"205",29,"Some college",7,1,63,5.5,0.571725,2.893275,"No",0.147111842183529,0.116072322128358,0.141022623460993
"206",40,"Some college",17,11,116,6,2.56128,4.39872,"No",0.0216317065151213,0.0214384030135543,0.149184219573304
"207",33,"Did not complete high school",7,6,26,6,0.54288,1.01712,"No",0.105641296101441,0.100376539794408,0.149184219573304
"208",26,"High school degree",6,6,30,1,0.1437,0.1563,"No",0.0715233104375333,0.0782017946964227,0.0832414181511441
"209",36,"Did not complete high school",14,11,81,7.2,1.784592,4.047408,"No",0.031582724439409,0.0181051212753125,0.170360679895587
"210",26,"High school degree",6,0,35,1.9,0.085785,0.579215,"No",0.116110041758793,0.0859473439218311,0.0927387744457163
"211",40,"Some college",16,6,116,12.1,1.61414,12.42186,"No",0.040419499157663,0.0375201186842416,0.281274284360395
"212",44,"Did not complete high school",5,3,48,9,1.96992,2.35008,"Yes",0.419546849782574,0.539840071782864,0.206498469635316
"213",29,"Some college",1,10,30,4.5,0.27945,1.07055,"No",0.216056676519648,0.173714334236567,0.125819411565012
"214",35,"Some college",5,3,37,5.4,0.581418,1.416582,"Yes",0.191854826533863,0.298280089578302,0.139435797002348
"215",34,"Did not complete high school",16,3,75,10.4,3.9546,3.8454,"No",0.150278135420963,0.101876132175555,0.23832247968374
"216",34,"Some college",12,8,47,6.7,1.300537,1.848463,"No",0.0467253532379116,0.0326507042301544,0.161260140498931
"217",46,"Did not complete high school",14,25,35,10.2,1.34946,2.22054,"No",0.0105083649200739,0.00561450437789939,0.233577086224484
"218",41,"High school degree",21,22,145,12.2,3.23727,14.45273,"No",0.00865243191851708,0.00431751095365002,0.283942686237709
"219",27,"High school degree",7,8,30,4,0.4476,0.7524,"Yes",0.0738037237124655,0.0781486956512632,0.118757642677076
"220",27,"College degree",0,6,70,8,1.6184,3.9816,"Yes",0.587813312316951,0.443724165375475,0.185763039434584
"221",28,"Did not complete high school",11,6,24,2.4,0.107136,0.468864,"No",0.024749476673271,0.00702659639712678,0.0984261698495888
"222",48,"Some college",0,27,19,10.8,0.849528,1.202472,"No",0.175862050905876,0.28357334480376,0.248010417755233
"223",48,"Some college",17,26,113,12,3.37644,10.18356,"No",0.0174001414170556,0.0201313388375823,0.278621201773033
"224",29,"Some college",5,6,70,19.9,3.17604,10.75396,"Yes",0.747408815898846,0.824609097940428,0.522101522219013
"225",43,"High school degree",9,5,60,20.4,4.0392,8.2008,"Yes",0.675773512036067,0.735527013613082,0.538491757746175
"226",23,"Did not complete high school",5,2,17,7.9,0.302175,1.040825,"No",0.21482269866756,0.0779835341804321,0.183780491732131
"227",29,"High school degree",10,8,44,18.1,3.70326,4.26074,"No",0.463210355633168,0.488731554523492,0.462956247932683
"228",40,"College degree",5,6,75,1.9,0.884925,0.540075,"No",0.139822706481893,0.102652004711299,0.0927387744457163
"229",22,"High school degree",0,3,20,5.6,0.2072,0.9128,"No",0.396089607073459,0.454842797490177,0.142624515618002
"230",23,"Did not complete high school",7,3,22,14.4,0.849024,2.318976,"No",0.273793181887658,0.208687753671036,0.346280273672069
